GlobalNodeID,velocity:0,velocity:1,velocity:2,Points:0,Points:1,Points:2
6452,-0.535422,0.198921,-0.409744,115.196,112.083,97.7757
6455,-0,0,0,115.166,112.086,97.8172
6456,-0,0,0,115.195,112.08,97.7756
6791,-0.486144,0.180613,-0.372033,114.239,113.755,99.8431
6794,-0,0,0,114.237,113.754,99.845
6917,-0.423895,0.157486,-0.324395,115.929,116.807,99.1087
6920,-0,0,0,115.929,116.81,99.1097
6963,-0,0,0,115.731,112.288,97.1528
6962,-0.582754,0.216506,-0.445966,115.707,112.271,97.1777
6964,-0.473685,0.175984,-0.362498,115.731,112.29,97.1542
6966,-0,0,0,115.707,112.268,97.176
7095,-0,0,0,114.963,112.183,98.1372
7094,-0.513241,0.19068,-0.39277,114.943,112.204,98.1743
7096,-0.454148,0.168726,-0.347547,114.964,112.186,98.1368
7098,-0,0,0,114.941,112.201,98.1748
7207,-0.459887,0.170858,-0.351939,114.244,113.8,99.8591
7210,-0,0,0,114.242,113.799,99.8609
7415,-0.433964,0.161227,-0.332101,115.587,112.182,97.2974
7416,-0.468393,0.174018,-0.358449,115.612,112.199,97.2723
7419,-0,0,0,115.588,112.18,97.2962
7420,-0,0,0,115.612,112.197,97.271
7489,-0.536346,0.199264,-0.410451,117.294,115.278,96.6071
7492,-0,0,0,117.296,115.279,96.6051
7759,-0.595926,0.221399,-0.456047,114.493,114.918,100.07
7762,-0,0,0,114.492,114.918,100.072
8239,-0,0,0,115.66,112.23,97.2221
8238,-0.445948,0.165679,-0.341272,115.636,112.216,97.2477
8240,-0.433592,0.161089,-0.331817,115.66,112.232,97.2233
8242,-0,0,0,115.636,112.214,97.2465
8336,-0,0,0,115.562,112.163,97.3224
8337,-0.463217,0.172095,-0.354488,115.562,112.166,97.3236
8396,-0,0,0,116.025,112.516,96.8634
8397,-0.518876,0.192774,-0.397082,116.024,112.518,96.8651
8608,-0,0,0,114.32,114.291,99.9963
8609,-0.545858,0.202798,-0.417731,114.322,114.291,99.9941
8948,-0,0,0,116.105,112.597,96.794
8949,-0.524207,0.194754,-0.401161,116.104,112.6,96.7958
8971,-0,0,0,114.476,114.874,100.073
8972,-0.520105,0.19323,-0.398022,114.477,114.874,100.07
8976,-0,0,0,114.368,112.853,99.2458
8977,-0.480914,0.17867,-0.368031,114.37,112.854,99.2443
9013,-0,0,0,117.19,116.286,97.2488
9014,-0.465942,0.173107,-0.356573,117.188,116.284,97.2501
9017,-0.705839,0.262234,-0.540159,115.39,116.433,99.623
9019,-0,0,0,115.418,116.464,99.6015
9020,-0.619835,0.230282,-0.474343,115.419,116.461,99.5994
9021,-0,0,0,115.389,116.436,99.6254
9198,-0,0,0,114.221,113.496,99.7412
9199,-0.559976,0.208043,-0.428535,114.223,113.497,99.7391
9305,-0.615956,0.228841,-0.471375,116.773,113.72,96.4417
9309,-0,0,0,116.775,113.719,96.4394
9339,-0.684256,0.254216,-0.523643,114.51,114.961,100.069
9342,-0,0,0,114.508,114.961,100.072
9353,-0.453893,0.168631,-0.347352,117.206,116.224,97.1974
9355,-0,0,0,117.216,116.196,97.1716
9356,-0.419738,0.155942,-0.321214,117.214,116.194,97.1728
9357,-0,0,0,117.208,116.226,97.1961
9359,-0.5486,0.203817,-0.419829,114.542,115.045,100.068
9360,-0.479521,0.178152,-0.366964,114.525,115.003,100.07
9363,-0,0,0,114.54,115.046,100.07
9364,-0,0,0,114.524,115.004,100.072
9575,-0,0,0,117.188,114.793,96.4846
9574,-0.568674,0.211275,-0.435191,117.175,114.742,96.4739
9576,-0.611256,0.227095,-0.467778,117.186,114.793,96.4868
9578,-0,0,0,117.177,114.742,96.4718
9611,-0,0,0,115.226,116.262,99.7543
9610,-0.446584,0.165916,-0.341759,115.253,116.29,99.7328
9612,-0.469239,0.174332,-0.359096,115.227,116.26,99.7526
9614,-0,0,0,115.252,116.292,99.7344
9665,-0,0,0,116.513,116.906,98.4084
