GlobalNodeID,velocity:0,velocity:1,velocity:2,Points:0,Points:1,Points:2
43281,-45.5077,16.5948,-35.9394,114.342,114.023,99.8479
43283,-45.744,16.681,-36.126,114.405,114.405,99.951
44417,-39.488,14.3996,-31.1853,115.322,112.174,97.648
44419,-43.6511,15.9178,-34.4731,115.084,112.243,97.9986
44906,-47.9252,17.4764,-37.8486,114.876,112.398,98.3546
45304,-41.3201,15.0678,-32.6323,117.155,116.12,97.2077
46233,-40.6148,14.8106,-32.0752,116.342,113.032,96.6557
46234,-42.0658,15.3397,-33.2212,116.554,113.388,96.546
47297,-44.6951,16.2985,-35.2976,114.664,115.195,99.9858
47316,-47.9968,17.5025,-37.9052,116.884,116.604,97.8011
47317,-32.7101,11.928,-25.8325,116.705,116.767,98.1025
47864,-48.6099,17.726,-38.3893,116.481,116.79,98.405
48112,-45.2998,16.519,-35.7752,114.494,112.706,99.0046
48114,-46.0165,16.7803,-36.3412,114.406,113.022,99.2795
48245,-50.2657,18.3299,-39.697,114.525,114.799,99.982
49262,-42.4446,15.4778,-33.5203,116.107,112.72,96.829
49437,-39.316,14.3369,-31.0495,114.633,112.452,98.704
49978,-38.2837,13.9605,-30.2343,116.257,116.816,98.699
50039,-46.3634,16.9068,-36.6151,114.301,113.654,99.7205
50040,-39.1412,14.2732,-30.9114,114.3,113.307,99.5529
51074,-46.772,17.0558,-36.9379,115.534,116.461,99.4601
51076,-47.5099,17.3249,-37.5206,115.779,116.63,99.2259
52159,-49.4124,18.0187,-39.0231,115.585,112.296,97.351
52160,-42.6542,15.5542,-33.6858,115.847,112.482,97.075
52168,-38.3707,13.9922,-30.303,114.837,115.586,99.9423
52170,-42.0261,15.3252,-33.1898,115.054,115.934,99.8258
52524,-38.4121,14.0073,-30.3357,116.02,116.762,98.9759
52767,-41.9312,15.2906,-33.1149,117.071,114.572,96.5049
52769,-48.6083,17.7254,-38.388,116.909,114.175,96.4894
53318,-42.3154,15.4307,-33.4183,117.183,114.978,96.585
54716,-50.8117,18.5289,-40.1281,116.719,113.786,96.5223
54955,-46.2248,16.8563,-36.5057,117.046,116.409,97.4975
55090,-50.3556,18.3626,-39.768,115.294,116.216,99.6537
56990,-67.3621,24.5642,-53.1987,117.194,115.37,96.7746
56991,-54.839,19.9975,-43.3087,117.206,115.765,96.9624
57060,-67.9991,24.7965,-53.7018,114.378,114.029,99.8086
57062,-68.348,24.9237,-53.9773,114.441,114.405,99.911
58196,-59.1017,21.552,-46.6752,115.333,112.226,97.6563
58198,-65.2639,23.7991,-51.5417,115.104,112.297,97.995
58685,-71.561,26.0954,-56.5148,114.898,112.455,98.3506
59083,-61.8144,22.5412,-48.8175,117.122,116.089,97.233
60012,-60.7705,22.1605,-47.993,116.319,113.061,96.6897
60013,-62.9133,22.9419,-49.6853,116.527,113.411,96.5824
61076,-66.8017,24.3599,-52.7562,114.692,115.18,99.9456
61095,-71.6649,26.1333,-56.5968,116.857,116.55,97.8144
61096,-49.0447,17.8846,-38.7327,116.69,116.728,98.1048
61643,-72.5701,26.4633,-57.3117,116.466,116.73,98.4005
61891,-67.6929,24.6848,-53.4599,114.527,112.746,98.9779
61893,-68.7503,25.0704,-54.2951,114.44,113.057,99.2515
62024,-75.0042,27.351,-59.2341,114.56,114.79,99.9368
63041,-63.4755,23.1469,-50.1293,116.089,112.759,96.8624
63216,-58.8483,21.4596,-46.475,114.656,112.497,98.6963
63757,-57.3118,20.8992,-45.2615,116.25,116.769,98.6887
63818,-69.2614,25.2568,-54.6987,114.339,113.668,99.6815
63819,-58.592,21.3661,-46.2726,114.333,113.331,99.5252
64853,-69.8631,25.4762,-55.1739,115.545,116.415,99.4285
64855,-70.9493,25.8723,-56.0317,115.783,116.578,99.2
65938,-73.7501,26.8936,-58.2436,115.585,112.356,97.3784
65939,-63.7793,23.2577,-50.3693,115.838,112.528,97.1034
65947,-57.4495,20.9495,-45.3703,114.858,115.567,99.908
65949,-62.8595,22.9223,-49.6428,115.074,115.906,99.7895
66303,-57.5088,20.9711,-45.4171,116.018,116.718,98.9603
66546,-62.7209,22.8717,-49.5334,117.039,114.577,96.5424
66548,-72.5675,26.4624,-57.3097,116.874,114.19,96.532
67097,-63.2837,23.077,-49.9778,117.15,114.975,96.6237
68495,-75.8085,27.6442,-59.8692,116.683,113.805,96.5657
