GlobalNodeID,velocity:0,velocity:1,velocity:2,Points:0,Points:1,Points:2
21962,-158.573,57.8748,-124.484,116.141,115.517,98.2272
21966,-129.881,47.4027,-101.959,114.92,113.813,98.9733
21983,-106.483,38.8634,-83.5918,115.842,113.098,97.3938
21991,-110.955,40.4956,-87.1024,116.728,115.585,97.4932
21994,-122.175,44.5906,-95.9104,116.176,113.609,97.2077
22001,-108.754,39.6921,-85.3742,116.288,116.094,98.3245
22002,-143.357,52.3211,-112.538,116.475,114.529,97.2878
22010,-118.581,43.2788,-93.0889,116.543,115.826,97.8599
22011,-157.917,57.6352,-123.968,116.399,115.274,97.7693
22018,-100.663,36.7393,-79.0231,116.737,114.602,96.9728
