GlobalNodeID,velocity:0,velocity:1,velocity:2,Points:0,Points:1,Points:2
92680,-511.162,157.51,-446.899,107.194,117.942,89.7973
95763,-333.726,102.835,-291.77,106.941,116.351,89.536
90520,-115.605,35.6226,-101.071,105.493,116.025,91.0734
89256,-185.015,57.0107,-161.755,107.932,117.976,88.9651
90874,-364.377,112.279,-318.567,105.815,116.556,90.89
88207,-136.473,42.0529,-119.316,106.091,115.61,90.2485
88315,-467.922,144.186,-409.095,106.331,118.356,90.9244
89080,-476.903,146.953,-416.947,106.329,118.314,90.9125
88611,-476.414,146.803,-416.519,106.359,118.345,90.8892
90862,-502.87,154.955,-439.649,107.058,118.293,90.0726
86936,-131.336,40.4701,-114.825,107.497,116.413,88.9225
87346,-156.058,48.0879,-136.439,107.478,116.45,88.9571
91041,-244.53,75.3498,-213.788,106.667,119.243,90.8473
87942,-215.861,66.5156,-188.723,105.454,117.354,91.5779
89956,-210.677,64.9181,-184.191,105.452,117.4,91.5962
90632,-345.671,106.516,-302.214,107.47,117.08,89.184
90631,-354.151,109.129,-309.628,107.439,117.052,89.2098
88463,-423.355,130.453,-370.131,106.03,118.172,91.2045
94272,-303.38,93.4838,-265.239,106.425,116.027,90.0131
93686,-298.002,91.8266,-260.537,106.446,116.017,89.9857
94725,-457.95,141.113,-400.377,106.198,118.256,91.0418
94219,-185.993,57.3119,-162.61,105.384,116.79,91.4625
88111,-36.1642,11.1437,-31.6176,107.719,119.344,89.6814
94906,-136.966,42.2047,-119.746,107.194,119.528,90.3449
90462,-225.669,69.538,-197.298,107.17,119.311,90.2959
87636,-226.914,69.9215,-198.387,107.196,119.294,90.2607
87590,-206.156,63.5251,-180.238,107.871,118.304,89.1481
92422,-515.059,158.711,-450.307,106.137,117.714,90.9243
95895,-364.596,112.347,-318.759,106.039,116.263,90.5347
94814,-268.579,82.7603,-234.814,107.377,116.627,89.1339
92529,-250.282,77.122,-218.816,107.407,116.615,89.0947
90541,-353.954,109.068,-309.455,105.903,118.254,91.3784
95551,-519.785,160.167,-454.438,107.059,117.243,89.7091
91797,-126.771,39.0635,-110.834,105.356,116.436,91.3711
91567,-222.46,68.549,-194.492,105.449,117.21,91.5339
94813,-83.6729,25.7831,-73.1536,105.899,119.024,91.6491
94981,-36.9291,11.3794,-32.2864,107.493,116.182,88.8485
93450,-46.5103,14.3317,-40.663,107.458,116.159,88.8809
88374,-507.409,156.353,-443.618,106.121,116.971,90.6857
94665,-163.618,50.4175,-143.048,106.162,119.104,91.3763
89161,-560.395,172.681,-489.943,106.975,117.5,89.8942
89694,-558.498,172.096,-488.284,106.995,117.541,89.8856
87836,-155.28,47.8481,-135.758,105.621,115.965,90.9064
95279,-154.934,47.7415,-135.456,107.603,119.134,89.7406
94009,-175.707,54.1425,-153.617,107.58,119.095,89.7531
92311,-404.24,124.563,-353.42,107.189,116.836,89.42
89032,-121.817,37.5367,-106.502,106.248,115.585,90.0609
90444,-286.711,88.3474,-250.666,105.739,116.298,90.8879
94201,-356.462,109.841,-311.648,107.517,117.257,89.1916
90433,-148.361,45.716,-129.709,107.144,119.517,90.398
87961,-557.839,171.893,-487.708,106.274,117.268,90.6141
89798,-265.882,81.929,-232.455,105.515,117.175,91.4457
89509,-279.269,86.0542,-244.159,105.54,117.199,91.4266
94550,-67.294,20.736,-58.8339,105.437,118.258,91.9118
92410,-350.051,107.865,-306.043,105.783,117.913,91.396
89599,-341.075,105.099,-298.195,105.774,117.944,91.4171
93382,-366.606,112.966,-320.517,106.485,116.213,90.0088
92020,-379.467,116.929,-331.76,106.478,116.249,90.0297
95021,-368.341,113.501,-322.034,106.455,116.211,90.0423
88641,-177.655,54.7428,-155.32,105.366,116.924,91.5289
94462,-340.351,104.876,-297.563,107.172,118.953,90.1707
87867,-72.5656,22.3604,-63.4427,105.235,117.187,91.7709
94485,-229.048,70.579,-200.252,105.49,116.616,91.2809
87827,-218.371,67.289,-190.917,106.579,119.264,90.9545
88353,-243.672,75.0853,-213.037,105.476,117.115,91.4704
93757,-312.476,96.2866,-273.192,107.521,117.04,89.112
89737,-300.258,92.5219,-262.51,107.529,117.004,89.0904
89620,-251.575,77.5204,-219.947,107.519,118.912,89.7598
89543,-511.939,157.75,-447.579,106.887,118.385,90.3001
91658,-74.1181,22.8388,-64.8001,106.802,119.661,90.8382
88746,-161.792,49.8548,-141.452,106.27,119.198,91.2845
92360,-115.133,35.4772,-100.659,107.333,119.505,90.1782
94051,-437.798,134.904,-382.759,107.42,117.624,89.4282
94050,-443.564,136.68,-387.8,107.408,117.645,89.4501
95501,-429.181,132.248,-375.225,107.443,117.632,89.4057
94052,-435.254,134.119,-380.534,107.429,117.65,89.4272
91156,-91.7888,28.2839,-80.2492,105.244,116.927,91.6701
91208,-575.794,177.426,-503.406,106.52,117.183,90.3048
90660,-150.862,46.4868,-131.896,107.333,116.251,89.0546
90986,-168.577,51.9456,-147.384,105.438,116.415,91.2707
95507,-151.412,46.6563,-132.377,105.414,116.393,91.2904
95082,-91.4916,28.1923,-79.9893,107.852,116.935,88.6978
94127,-446.271,137.514,-390.166,107.41,117.866,89.5237
93324,-49.3696,15.2128,-43.1629,106.987,115.744,89.2741
90447,-341.077,105.1,-298.197,106.242,118.719,91.1513
91786,-227.298,70.0399,-198.722,106.944,116.085,89.441
89359,-162.702,50.1351,-142.247,106.741,119.457,90.8373
94029,-328.803,101.318,-287.466,107.293,118.886,90.009
92175,-28.6211,8.81932,-25.0228,105.282,116.164,91.3618
94085,-67.4445,20.7824,-58.9655,107.555,119.44,89.9022
87559,-53.9849,16.635,-47.198,105.234,117.379,91.8393
93190,-388.831,119.815,-339.948,105.748,117.235,91.2021
91901,-388.025,119.566,-339.242,105.748,117.273,91.2145
87877,-51.1588,15.7641,-44.7272,105.212,116.522,91.5655
95558,-404.499,124.643,-353.645,105.778,117.102,91.1216
94991,-405.132,124.838,-354.199,105.779,117.128,91.129
93145,-528.798,162.945,-462.318,107.011,118.156,90.0796
96110,-211.654,65.2194,-185.045,105.584,118.054,91.672
88763,-67.8611,20.9108,-59.3297,108.006,117.274,88.6385
88476,-256.893,79.1593,-224.597,107.071,116.247,89.3525
88477,-256.897,79.1605,-224.6,107.045,116.226,89.3749
95352,-555.856,171.282,-485.974,106.309,117.137,90.5284
90290,-560.094,172.588,-489.679,106.325,117.167,90.521
89074,-555.959,171.314,-486.065,106.298,117.162,90.5501
92296,-255.026,78.5841,-222.965,106.784,116.052,89.6121
89533,-253.261,78.0401,-221.421,106.758,116.032,89.6355
94722,-466.584,143.774,-407.926,106.841,118.62,90.4331
93331,-204.455,63.001,-178.751,105.979,115.796,90.4411
94104,-553.502,170.557,-483.916,106.279,117.677,90.7496
93232,-558.411,172.069,-488.208,106.297,117.652,90.7204
91176,-526.967,162.38,-460.717,107.022,117.229,89.7469
89916,-363.449,111.993,-317.756,106.513,116.21,89.9761
91666,-359.041,110.635,-313.902,106.963,118.993,90.4232
90804,-74.7105,23.0214,-65.318,105.693,115.643,90.7125
95364,-377.321,116.268,-329.885,107.576,117.847,89.3271
92404,-378.6,116.662,-331.002,107.572,117.807,89.3183
92674,-365.271,112.555,-319.349,107.602,117.841,89.2958
91478,-84.5594,26.0562,-73.9287,107.332,119.58,90.2051
87639,-81.6502,25.1598,-71.3852,107.769,116.719,88.7185
86875,-86.5471,26.6687,-75.6665,107.834,116.874,88.6975
86874,-76.1594,23.4678,-66.5847,107.826,116.823,88.6885
87010,-66.4891,20.488,-58.1301,107.853,116.85,88.6675
91350,-492.079,151.63,-430.216,106.92,118.478,90.2942
95098,-546.72,168.467,-477.987,106.379,117.974,90.7381
95099,-541.313,166.801,-473.259,106.361,117.992,90.7655
88188,-301.096,92.7799,-263.242,107.559,118.645,89.6225
91611,-313.741,96.6765,-274.298,107.523,118.651,89.6658
88599,-320.92,98.8885,-280.574,107.531,118.598,89.6378
